gene_symbol	gene_symbol_long	identifier
PPR64	Psudo-Response Regulator gene 64	glyma.Wm82.gnm2.ann1.Glyma.07G211900
PPR65	Psudo-Response Regulator gene 65	glyma.Wm82.gnm2.ann1.Glyma.07G216300
PPR66	Psudo-Response Regulator gene 66	glyma.Wm82.gnm2.ann1.Glyma.07G245500
PPR67	Psudo-Response Regulator gene 67	glyma.Wm82.gnm2.ann1.Glyma.07G249400
PPR68	Psudo-Response Regulator gene 68	glyma.Wm82.gnm2.ann1.Glyma.08G080300
PPR69	Psudo-Response Regulator gene 69	glyma.Wm82.gnm2.ann1.Glyma.08G086500
PPR7	Psudo-Response Regulator gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G230500
PPR70	Psudo-Response Regulator gene 70	glyma.Wm82.gnm2.ann1.Glyma.08G092900
PPR71	Psudo-Response Regulator gene 71	glyma.Wm82.gnm2.ann1.Glyma.08G113100
PPR72	Psudo-Response Regulator gene 72	glyma.Wm82.gnm2.ann1.Glyma.08G117400
PPR73	Psudo-Response Regulator gene 73	glyma.Wm82.gnm2.ann1.Glyma.08G123700
PPR74	Psudo-Response Regulator gene 74	glyma.Wm82.gnm2.ann1.Glyma.08G152900
PPR75	Psudo-Response Regulator gene 75	glyma.Wm82.gnm2.ann1.Glyma.08G160200
PPR76	Psudo-Response Regulator gene 76	glyma.Wm82.gnm2.ann1.Glyma.08G172500
PPR77	Psudo-Response Regulator gene 77	glyma.Wm82.gnm2.ann1.Glyma.08G208900
PPR78	Psudo-Response Regulator gene 78	glyma.Wm82.gnm2.ann1.Glyma.08G213800
PPR79	Psudo-Response Regulator gene 79	glyma.Wm82.gnm2.ann1.Glyma.08G252400
PPR8	Psudo-Response Regulator gene 8	glyma.Wm82.gnm2.ann1.Glyma.01G234100
PPR80	Psudo-Response Regulator gene 80	glyma.Wm82.gnm2.ann1.Glyma.08G254300
PPR81	Psudo-Response Regulator gene 81	glyma.Wm82.gnm2.ann1.Glyma.08G291700
PPR82	Psudo-Response Regulator gene 82	glyma.Wm82.gnm2.ann1.Glyma.08G291800
PPR83	Psudo-Response Regulator gene 83	glyma.Wm82.gnm2.ann1.Glyma.08G294900
PPR84	Psudo-Response Regulator gene 84	glyma.Wm82.gnm2.ann1.Glyma.08G295900
PPR85	Psudo-Response Regulator gene 85	glyma.Wm82.gnm2.ann1.Glyma.08G302300
PPR86	Psudo-Response Regulator gene 86	glyma.Wm82.gnm2.ann1.Glyma.08G318700
PPR87	Psudo-Response Regulator gene 87	glyma.Wm82.gnm2.ann1.Glyma.09G000400
PPR88	Psudo-Response Regulator gene 88	glyma.Wm82.gnm2.ann1.Glyma.09G043600
PPR89	Psudo-Response Regulator gene 89	glyma.Wm82.gnm2.ann1.Glyma.09G097800
PPR9	Psudo-Response Regulator gene 9	glyma.Wm82.gnm2.ann1.Glyma.01G236000
PPR90	Psudo-Response Regulator gene 90	glyma.Wm82.gnm2.ann1.Glyma.09G126100
PPR91	Psudo-Response Regulator gene 91	glyma.Wm82.gnm2.ann1.Glyma.09G154200
PPR92	Psudo-Response Regulator gene 92	glyma.Wm82.gnm2.ann1.Glyma.09G168800
PPR93	Psudo-Response Regulator gene 93	glyma.Wm82.gnm2.ann1.Glyma.09G200600
PPR94	Psudo-Response Regulator gene 94	glyma.Wm82.gnm2.ann1.Glyma.09G209700
PPR95	Psudo-Response Regulator gene 95	glyma.Wm82.gnm2.ann1.Glyma.09G227000
PPR96	Psudo-Response Regulator gene 96	glyma.Wm82.gnm2.ann1.Glyma.09G236700
PPR97	Psudo-Response Regulator gene 97	glyma.Wm82.gnm2.ann1.Glyma.09G237200
PPR98	Psudo-Response Regulator gene 98	glyma.Wm82.gnm2.ann1.Glyma.09G251000
PPR99	Psudo-Response Regulator gene 99	glyma.Wm82.gnm2.ann1.Glyma.09G272000
PR-10	stress-induced protein SAM22	glyma.Wm82.gnm2.ann1.Glyma.07g243700
PR08-Bet VI	pathogenesis-related protein	glyma.Wm82.gnm2.ann1.Glyma.08G230500
PR1	Pathogenesis related 1 protein	glyma.Wm82.gnm2.ann1.Glyma.13g251600
PR1-1	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.13g251600
PR1-2	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.13g251700
PR1-3	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.13g252300
PR1-4	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.13g252000
PR1-5	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.13g252400
PR1-6	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.15g062400
PR1-7	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.15g062500
PR1-8	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.15g062700
PR10	pathogenesis-related protein 10	glyma.Wm82.gnm2.ann1.Glyma.09g040500
PRD3	Putative recombination initiation defects 3	glyma.Wm82.gnm2.ann1.Glyma.07G070400
PRI1-9	pathogenesis-related protein 1	glyma.Wm82.gnm2.ann1.Glyma.15g062800
PRP1	repetitive proline-rich cell wall protein 1	glyma.Wm82.gnm2.ann1.Glyma.09g092700
PRP3	repetitive proline-rich cell wall protein 3	glyma.Wm82.gnm2.ann1.Glyma.11g154900
PRR124	Psudo-Response Regulator gene 124	glyma.Wm82.gnm2.ann1.Glyma.13G062300
PRR37	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma04g33110
PRR38	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma05g00880
PRR39	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma06g14150
PRR3B	Psudo-Response Regulator 3 gene B	glyma.Wm82.gnm1.ann1.Glyma12g07861
PRR40	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma19g44970
PRR41	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma13g19870
PRR42	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma12g07860
PRR43	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma04g40640
PRR44	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma16g02050
PRR45	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma07g05530
PRR46	Shoot preferential, Pseudo Response Regulator	glyma.Wm82.gnm1.ann1.Glyma05g06070
PRR47	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma17g16360
PRR48	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma01g40900
PRR49	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma11g04440
PRR5	Pseudo-response regulator gene 5	glyma.Wm82.gnm1.ann1.Glyma04g40640
PRR5a	Pseudo Response Regultor 5 gene a	glyma.Wm82.gnm2.ann1.Glyma.06G136600
PRR5b	Pseudo Response Regultor 5 gene b	glyma.Wm82.gnm2.ann1.Glyma.04G228300
PRR7	Pseudo-response regulator gene 7	glyma.Wm82.gnm1.ann1.Glyma12g07860
PRR7a	Pseudo Response Regultor 7 gene a	glyma.Wm82.gnm2.ann1.Glyma.U034500
PRR7b	Pseudo Response Regultor 7 gene b	glyma.Wm82.gnm2.ann1.Glyma.12G073900
PRR7c	Pseudo Response Regultor 7 gene c	glyma.Wm82.gnm2.ann1.Glyma.13G135900
PRR7d	Pseudo Response Regultor 7 gene d	glyma.Wm82.gnm2.ann1.Glyma.10G048100
PRX1	Peroxidase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.09g022300
PRX2	Cationic peroxidase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.17g013600
PRX2B	peroxidase	glyma.Wm82.gnm2.ann1.Glyma.07g260300
PRX3	peroxidase 43	glyma.Wm82.gnm2.ann1.Glyma.15g050800
PRX4	peroxidase	glyma.Wm82.gnm2.ann1.Glyma.16g164200
PRXD16	Peroxiredoxin 6	glyma.Wm82.gnm2.ann1.Glyma.16G164400
PSAD	photosystem I subunit PsaD	glyma.Wm82.gnm2.ann1.Glyma.10g249000
PSK-GAMMA1	phytosulfokine-gamma1	glyma.Wm82.gnm2.ann1.Glyma.02g126200
PSK1	putative phytosulfokines 6-like	glyma.Wm82.gnm2.ann1.Glyma.12g181700
PSK3	putative phytosulfokine peptide	glyma.Wm82.gnm2.ann1.Glyma.10g066400
PSK5	phytosulfokines 3-like	glyma.Wm82.gnm2.ann1.Glyma.u029600
PT01	glycinol 2-dimethylallyl transferase	glyma.Wm82.gnm2.ann1.Glyma.01g134600
PT03	prenyltransferase family protein PT03	glyma.Wm82.gnm2.ann1.Glyma.03g0331001
PT10B	prenyltransferase family protein PT10b	glyma.Wm82.gnm2.ann1.Glyma.10g0701001
PT10D	prenyltransferase family protein PT10d	glyma.Wm82.gnm2.ann1.Glyma.10g070300
PT11A	prenyltransferase family protein PT11a	glyma.Wm82.gnm2.ann1.Glyma.11g210300
PT11B	prenyltransferase family protein PT11b	glyma.Wm82.gnm2.ann1.Glyma.11g210400
PT11C	prenyltransferase family protein PT11c	glyma.Wm82.gnm2.ann1.Glyma.11g210500
PTI1	protein kinase Pti1	glyma.Wm82.gnm2.ann1.Glyma.20g245600
PTI1A	Pti1 kinase-like protein	glyma.Wm82.gnm2.ann1.Glyma.07g234300
PTI1B	Pti1 kinase-like protein	glyma.Wm82.gnm2.ann1.Glyma.17g039800
PTOX	plastid terminal oxidase	glyma.Wm82.gnm2.ann1.Glyma.09g008500
PTP1	Tyrosine phosphatase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10g218100
PTS-L1	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.03g147800
PTS-L2	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.19g150900
PTS-L3	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.19g151000
PTS-L4	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.03g147900
PTS-L5	pterocarpan synthase-like	glyma.Wm82.gnm2.ann1.Glyma.19g151300
PTS1	pterocarpan synthase	glyma.Wm82.gnm2.ann1.Glyma.03g147700
PTS3	pterocarpan synthase	glyma.Wm82.gnm2.ann1.Glyma.19g151100
PTS4	pterocarpan synthase	glyma.Wm82.gnm2.ann1.Glyma.19g151200
PUB8	E3 ubiquitin-protein ligase PUB8	glyma.Wm82.gnm2.ann1.Glyma.02g195900
PUR1	glutamine phosphoribosylpyrophosphate amidotransferase	glyma.Wm82.gnm2.ann1.Glyma.04g007300
PUR3	glycinamide ribonucleotide transformylase	glyma.Wm82.gnm2.ann1.Glyma.19g115900
PURD	phosphoribosylamine--glycine ligase	glyma.Wm82.gnm2.ann1.Glyma.10g156900
RAB2	guanine nucleotide regulatory protein	glyma.Wm82.gnm2.ann1.Glyma.09g016700
RAB7P	ras-related protein RABD1-like	glyma.Wm82.gnm2.ann1.Glyma.12g165300
RAD51a	Radiation- repair 51 gene a	glyma.Wm82.gnm2.ann1.Glyma.13G175300
RAD51b	Radiation- repair 51 gene b	glyma.Wm82.gnm2.ann1.Glyma.17G049800
Raf1-2	Raf1 proto-oncogene serine/threonine protein kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G066000
Raf19-1	Raf19 proto-oncogene serine/threonine protein kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G264700
Raf30-2	Raf30 proto-oncogene serine/threonine protein kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G105300
Raf41-1	Raf41 proto-oncogene serine/threonine protein kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G002600
Raf42-3	Raf42 proto-oncogene serine/threonine protein kinase gene 3	glyma.Wm82.gnm2.ann1.Glyma.17G105100
Raf47-1	Raf47proto-oncogene serine/threonine protein kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.14G026700
Raf49-1	Raf49 proto-oncogene serine/threonine protein kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.14G099300
Raf49-2	Raf49 proto-oncogene serine/threonine protein kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G225400
Raf49-3	Raf49 proto-oncogene serine/threonine protein kinase gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G055300
Raf52	Raf52 proto-oncogene serine/threonine protein kinase	glyma.Wm82.gnm2.ann1.Glyma.04G020100
Raf6-4	Raf6 proto-oncogene serine/threonine protein kinase gene 4	glyma.Wm82.gnm2.ann1.Glyma.02G215300
RAP2.7	Target of Early Activation	glyma.Wm82.gnm2.ann1.Glyma.19G178200
RAR1-1	RAR1 protein	glyma.Wm82.gnm2.ann1.Glyma.10g242200
RAR1-2	CHORD superfamily protein	glyma.Wm82.gnm2.ann1.Glyma.20g151900
RAV	RAV-like DNA-binding protein	glyma.Wm82.gnm2.ann1.Glyma.10g204400
RAV1	AP2/ERF transcription factor family protein RAV1	glyma.Wm82.gnm2.ann1.Glyma.01g087500
RBCS-1	Ribulose bisphosphate carboxylase small chain 1, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.13g046200
RCA03	ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.03g068100
RCA11	ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.11g221000
RCA14	ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.14g067000
RCAALPHA	ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.02g249600
RCABETA	ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.18g036400
RCC1	Regulator of chromosome condensation 1	glyma.Wm82.gnm2.ann1.Glyma.10G226900
RDR3	RNA-dependent RNA polymerase	glyma.Wm82.gnm2.ann1.Glyma.01g008700
RFP1	RING-type E3 ubiquitin ligase	glyma.Wm82.gnm2.ann1.Glyma.13g071600
RHA	RNA helicase A	glyma.Wm82.gnm2.ann1.Glyma.08G113000
RHG4	receptor-like kinase RHG4	glyma.Wm82.gnm2.ann1.Glyma.08g107700
RIC1	CLE-related protein RIC1	glyma.Wm82.gnm1.ann1.Glyma13g36830
RIC2	CLE-related protein RIC2	glyma.Wm82.gnm2.ann1.Glyma.06g284100
RIN4a	RIN4a protein	glyma.Wm82.gnm2.ann1.Glyma.03g084000
RIN4B	RPM1-interacting protein 4-like	glyma.Wm82.gnm2.ann1.Glyma.16g090700
RIN4c	RIN4c protein	glyma.Wm82.gnm2.ann1.Glyma.18g166800
RIN4d	RIN4d protein	glyma.Wm82.gnm2.ann1.Glyma.08g349500
RIP1	RIP1-like peroxidase	glyma.Wm82.gnm2.ann1.Glyma.11g161800
RJ1	LysM-type receptor kinase NFR1alpha	glyma.Wm82.gnm2.ann1.Glyma.02g270800
RLK1	receptor-like protein kinase 1	glyma.Wm82.gnm2.ann1.Glyma.05g110400
RLK2	receptor-like protein kinase 2	glyma.Wm82.gnm2.ann1.Glyma.11g043800
RLK3	receptor-like protein kinase 3	glyma.Wm82.gnm2.ann1.Glyma.01g197800
RNA polymerase II	DNA-directed RNA polymerase II subunit RPB7	glyma.Wm82.gnm2.ann1.Glyma.08g085100
RNF12	RING-H2 finger protein	glyma.Wm82.gnm2.ann1.Glyma.10g259300
ROP10	Rho-related protein ROP10	glyma.Wm82.gnm2.ann1.Glyma.04g180200
RPL2	ribosomal protein L2	glyma.Wm82.gnm2.ann1.Glyma.02g049300
RPL37	ribosomal protein L37	glyma.Wm82.gnm2.ann1.Glyma.07g004900
RPS10C	40S ribosomal protein S10	glyma.Wm82.gnm1.ann1.Glyma08g02070
RPS11	ribosomal protein S11	glyma.Wm82.gnm2.ann1.Glyma.13g165200
RPS13	ribosomal protein S13	glyma.Wm82.gnm2.ann1.Glyma.05g052400
RPS6	ribosomal protein S6	glyma.Wm82.gnm2.ann1.Glyma.18g151800
RPSHC18-NBL1	NB-LRR type disease resistance protein	glyma.Wm82.gnm2.ann1.Glyma.03g037100
RPSHC18-NBL2	NB-LRR type disease resistance protein	glyma.Wm82.gnm2.ann1.Glyma.03g037300
RPSQ	LRR receptor kinase-like protein	glyma.Wm82.gnm2.ann1.Glyma.03g117600
RR01	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma02g03140
RR02	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma17g10170
RR03	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma05g01730
RR04	Shoot preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma08g40330
RR05	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma18g17330
RR06	Root specific, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma15g37770
RR07	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04g42680
RR08	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06g12100
RR09	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma03g28570
RR10	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma19g31320
RR11	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma11g21650
RR12	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04g29250
RR13	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma13g03560
RR14	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06g19870
RR15	Root specific, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04g34820
RR16	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06g14750
RR17	Shoot preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04g40100
RR18	Root specific, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma13g26770
RR19	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma17g03380
RR20	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma09g04470
RR21	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma07g37220
RR22	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma15g15520
RR23	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma11g37480
RR24	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma05g27670
RR25	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma08g10650
RR26	Ubiquitous, Response Regiulator Type-B	glyma.Wm82.gnm1.ann1.Glyma04g06650
RR27	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma17g33230
RR28	Ubiquitous, Response Regiulator Type-B	glyma.Wm82.gnm1.ann1.Glyma14g13320
RR29	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma15g24770
RR30	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma09g14650
RR31	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma06g06730
RR32	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma13g22320
RR33	Ubiquitous, Response Regiulator Type-B	glyma.Wm82.gnm1.ann1.Glyma07g26890
RR34	Root Specific, Response Regulator Type-C	glyma.Wm82.gnm1.ann1.Glyma03g32720
RR35	Root Preferential, Response Regulator Type-C	glyma.Wm82.gnm1.ann1.Glyma19g35470
RR36	Root Specific, Response Regulator Type-C	glyma.Wm82.gnm1.ann1.Glyma19g35480
RS	raffinose synthase	glyma.Wm82.gnm2.ann1.Glyma.03g137900
RS1	Raffinose Synthase 1	glyma.Wm82.gnm1.ann1.Glyma03g29440
RS2	Raffinose Synthase 2	glyma.Wm82.gnm2.ann1.Glyma.06g179200
RS3	Raffinose Synthase 3	glyma.Wm82.gnm2.ann1.Glyma.05g003900
RSP13	ribosomal protein S13	glyma.Wm82.gnm2.ann1.Glyma.02g078000
RSV3	putative NBS-LRR family protein	glyma.Wm82.gnm2.ann1.Glyma.14g204700
RTRP2	probable E3 ubiquitin-protein ligase rbrA-like protein	glyma.Wm82.gnm2.ann1.Glyma.12g071900
RTRP3	reverse transcriptase-like domain-containing RBR protein	glyma.Wm82.gnm2.ann1.Glyma.09g020000
RTRP4	reverse transcriptase-like domain-containing RBR protein	glyma.Wm82.gnm2.ann1.Glyma.15g126500
RTRP5	RING/U-box superfamily protein	glyma.Wm82.gnm2.ann1.Glyma.09g074200
S6K1A	S6 Kinase 1	glyma.Wm82.gnm2.ann1.Glyma.09g273600
S6K1B	S6 Kinase 1	glyma.Wm82.gnm2.ann1.Glyma.18g212800
SABATH1	salicylic acid methyl transferase-like protein	glyma.Wm82.gnm2.ann1.Glyma.01g063100
SABATH2	salicylic acid methyl transferase-like protein	glyma.Wm82.gnm2.ann1.Glyma.02g054200
SAc3	Actin 3 gene	glyma.Wm82.gnm2.ann1.Glyma.08g146500
SAc4	Actin 4 gene	glyma.Wm82.gnm2.ann1.Glyma.12g063400
SAc6	Actin 6 gene	glyma.Wm82.gnm2.ann1.Glyma.18g290800
SACPD	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02g138100
SACPD-A	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm1.ann1.Glyma07g32850 
SACPD-B	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm1.ann1.Glyma02g15600 
SACPD-C	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.14g121400
SAD1	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02g138100
SAD2	stearoyl-ACP desaturase 2	glyma.Wm82.gnm2.ann1.Glyma.07g207200
SALI5-4A	sali5-4a protein	glyma.Wm82.gnm2.ann1.Glyma.12g217300
SALT3	K+/H+ antiporter gene 1	glyma.Wm82.gnm1.ann1.Glyma03g32900
SAMDC	S-adenosylmethionine decarboxylase	glyma.Wm82.gnm2.ann1.Glyma.02g128000
SAMT1.02	salicylic acid methyltransferase	glyma.Wm82.gnm2.ann1.Glyma.02G054200
SAN1A	senescence-associated nodulin 1A	glyma.Wm82.gnm2.ann1.Glyma.07g209100
SAN1B	senescence-associated nodulin 1B	glyma.Wm82.gnm2.ann1.Glyma.07g208900
SARK	senescence-associated receptor-like kinase	glyma.Wm82.gnm2.ann1.Glyma.13g266100
SAT1	serine O-acetyltransferase 1	glyma.Wm82.gnm2.ann1.Glyma.18g080000
SB100	heat shock protein	glyma.Wm82.gnm2.ann1.Glyma.05g022200
SBP2	sucrose-binding protein 2	glyma.Wm82.gnm2.ann1.Glyma.02g145700
SBP56	56kDa selenium binding protein 56	glyma.Wm82.gnm2.ann1.Glyma.08G108000
SBP65	Late embryonic abundant protein 65 kd	glyma.Wm82.gnm2.ann1.Glyma.13g291800
SBPRP	proline-rich protein	glyma.Wm82.gnm2.ann1.Glyma.14g115500
SBZ1	bZIP transcription factor protein SBZ1	glyma.Wm82.gnm2.ann1.Glyma.10g162100
SC-03	thiamin biosynthetic enzyme	glyma.Wm82.gnm2.ann1.Glyma.12g135000
SC-04	thiamin biosynthetic enzyme	glyma.Wm82.gnm2.ann1.Glyma.06g269700
SC514	lipoxygenase	glyma.Wm82.gnm2.ann1.Glyma.07g007000
SCA1	plasma membrane Ca2+-ATPase	glyma.Wm82.gnm2.ann1.Glyma.01g193600
SCA2	plasma membrane Ca2+-ATPase	glyma.Wm82.gnm2.ann1.Glyma.06g046000
SCAM-1	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.03g004100
SCAM-2	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.13g074800
SCAM-3	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.19g068300
SCAM-4	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.10g178400
SCAM-5	calmodulin	glyma.Wm82.gnm2.ann1.Glyma.02g002100
SCB1	Seed coat BURP domian protein 1	glyma.Wm82.gnm2.ann1.Glyma.07g176700
SCHI	chilling-induced protein	glyma.Wm82.gnm2.ann1.Glyma.13g275000
SCOF-1	scof-1 protein	glyma.Wm82.gnm2.ann1.Glyma.17g236200
SCTF-1	zinc finger protein ZAT10	glyma.Wm82.gnm2.ann1.Glyma.06g045400
SDP1	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.10g105200
SDP1-1	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.02g190000
SDP1-3	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.19g132900
SDP1-4	triacylglycerol lipase SDP1	glyma.Wm82.gnm2.ann1.Glyma.03g130900
SDP6	glycerol-3-phosphate dehydrogenase SDP6, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.02g165500
SDR	short-chain dehydrogenase/reductase (SDR) family protein 	glyma.Wm82.gnm1.ann1.Glyma07g08090
SEO-F1	sieve element occlusion by forisomes 1	glyma.Wm82.gnm2.ann1.Glyma.10g185500
SEO-F2	sieve element occlusion by forisomes 2	glyma.Wm82.gnm2.ann1.Glyma.10g185600
SEO-F3	sieve element occlusion by forisomes 3	glyma.Wm82.gnm2.ann1.Glyma.10g000400
SEO-F4	sieve element occlusion by forisomes 4	glyma.Wm82.gnm2.ann1.Glyma.10g185700
SEOA	sieve element occlusion a	glyma.Wm82.gnm2.ann1.Glyma.02g000700
SEOC	sieve element occlusion c	glyma.Wm82.gnm2.ann1.Glyma.04g190300
SEOD	sieve element occlusion d	glyma.Wm82.gnm2.ann1.Glyma.06g175200
SEOE	sieve element occlusion e	glyma.Wm82.gnm2.ann1.Glyma.08g130500
SEOF	sieve element occlusion f	glyma.Wm82.gnm2.ann1.Glyma.10g000500
SEOG	sieve element occlusion g	glyma.Wm82.gnm2.ann1.Glyma.10g185800
SEOI	sieve element occlusion i	glyma.Wm82.gnm2.ann1.Glyma.11g244200
SEOJ	sieve element occlusion j	glyma.Wm82.gnm2.ann1.Glyma.13g077200
SEOL	uncharacterized LOC100807591	glyma.Wm82.gnm2.ann1.Glyma.13g1911001
SEOM	sieve element occlusion m	glyma.Wm82.gnm2.ann1.Glyma.16g067700
SEOO	sieve element occlusion o	glyma.Wm82.gnm2.ann1.Glyma.20g0530001
SEOP	sieve element occlusion p	glyma.Wm82.gnm2.ann1.Glyma.20g052900
SEOR	sieve element occlusion r	glyma.Wm82.gnm2.ann1.Glyma.20g204400
SEOS	sieve element occlusion s	glyma.Wm82.gnm2.ann1.Glyma.20g204500
SEOU	uncharacterized LOC100795343	glyma.Wm82.gnm2.ann1.Glyma.20g204800
SEP1	transcription factor SEP1	glyma.Wm82.gnm2.ann1.Glyma.19g034500
SEPB2	peroxidase sEPb2	glyma.Wm82.gnm2.ann1.Glyma.11g080300
SERK1	somatic embryogenesis receptor kinase	glyma.Wm82.gnm2.ann1.Glyma.10g218800
SF	serine/arginine-rich splicing factor	glyma.Wm82.gnm2.ann1.Glyma.05G117600
SF3'H1	flavonoid 3'-hydroxylase	glyma.Wm82.gnm2.ann1.Glyma.06g202300
SFERH-2	ferritin	glyma.Wm82.gnm2.ann1.Glyma.01g124500
SFERH-3	ferritin	glyma.Wm82.gnm2.ann1.Glyma.11g232600
SFERH-4	ferritin	glyma.Wm82.gnm2.ann1.Glyma.14g056800
